Unknown	'Copter	10	C	19	Disc152a	G	N	B
Self Pub.	@-man	@manins	C	19	Disc150b	G	N	B
Advent Intl	1 Adventureland	ADVENT	c	19	DISC091a	a	n	I
Micro User	10 Minute Game	10MIN-L	c	19	Disc131a	g	n	C
Advent Intl	10 Savage Island Pt 1	ADVENT	c	19	DISC095b	a	n	O
Self Pub.	1066 Wargame	1066ins	C	19	Disc149b	G	N	G
Advent Intl	11 Savage Island Pt 2	ADVENT	c	19	DISC096b	a	n	S
Advent Intl	12 Golden Voyage	GOLD-L	c	19	DISC096b	a	n	I
Advent Intl	13 Sorceror Claymorgue Castle	ADVENTU	c	19	DISC097a	a	n	O
Advent Intl	15 Buckaroo Banzai	ADVENTU	c	19	DISC097b	a	n	Q
A&F 	180! Darts	180dart	c	19	Disc009b	g	n	I
Unknown	18th Hole	01	C	19	Disc155a	G	N	J
Incentive	1984	four	c	19	Disc053b	s	n	B
Advent Intl	2 Pirate	PIRATE	c	19	DISC091b	a	n	N
LDL sw	20-Four#STD	T4LDR	C	19	Disc175a	G	N	C
Superior 	2002	2002ldr	c	19	Disc069b	g	n	X
A&B	2002	a.2002	C	15	STH005	A	N	S
Self Pub.	2048	2048INS	c	19	DISC110b	s	n	F
Unknown	3 In A Line	3INLINS	C	19	Disc172a	G	N	P
PD	3-A-Line#2	3INALI1	c	19	Disc127b	s	n	S
Interface Pub	3-D Aggressor#E	3DAGR-I	C	19	Disc162b	G	N	M
self Pub.	3-D Maze	3-dmaze	C	0e	Disc157b	G	N	A
Fontana Pub	3-D Maze	3DMINST	c	19	Disc145b	g	n	K
Inferface publications	3-D Maze	Maze-l	C	19	Disc147a	G	N	I
8-Bit  	3-D Roller Ball	3-DRINS	c	19	Disc128b	g	n	D
Viking 	32K Universe	UNIV-L	c	19	DISC097a	a	n	\
Micro User	3D Asteroids	3d_ast	c	19	Disc039a	g	n	P
Invasion	3D Bomb Alley	bomb	c	19	Disc004b	g	n	O
Micro User	3d bomber command	header	c	19	Disc022b	g	n	U
Doctor Soft	3d bowling alley	bowling	c	19	DISC083a	g	n	F
Self Pub.	3D Brainstorm?#2	3DBR-L	c	19	Disc137b	s	n	G
Doctor Soft	3D Convoy	convoy	c	19	Disc033a	g	n	[
Acorn Computing	3D Dog Fight#2	DOG-L	c	19	DISC084a	g	n	J
Blue Ribbon	3D Dotty	3d-dott	c	19	Disc032a	g	n	Z
Invasion	3D Grand Prix	gp1	c	19	Disc008a	g	n	F
Unknown	3D Invaders	02	C	19	Disc146b	G	N	G
Bevan Tech	3D Maze	3D-MAZE	c	19	DISC108b	g	n	Q
Practical Comp.	3D Maze	3DINST	c	19	Disc144b	g	n	H
Acorn Programs	3D Maze	3DMAZ-L	c	19	Disc133a	g	n	H
IJK 	3D Maze	3dmaze	c	19	Disc020a	g	n	\
unknown	3D Maze Program	MAZE	C	0e	Disc168b	G	N	K
MRM	3D Munchy	intro	c	19	Disc003a	g	n	\
MRM	3D Munchy	MUNCHY	c	19	AltD009a	g	n	C
Blue Ribbon	3D Munchy	OK	c	19	AltD003a	g	n	C
Micro User	3D Noughts & Crosses	3DNandX	c	19	Disc119a	s	n	Z
Beebug	3D Noughts & Crosses	THREED	c	19	DISC080b	s	n	G
unknown	3D Noughts And Crosses	3DNOUGH	C	19	Disc181a	G	N	M
Practical Comp.	3D OXO	3DOXO	c	19	Disc142b	s	n	A
Acorn User	3D Pentominoes	POLY-L	c	19	Disc121b	s	n	J
Firebird	3D Pool	3DPOOL	c	19	AltD006b	g	n	_
Firebird	3D Pool	3dpool	c	19	Disc044b	g	n	D
Players	3D Snooker	3dsnook	c	19	Disc048b	g	n	M
Alligata	3D Space Raider	r2	c	19	Disc009b	g	n	Q
Alligata	3D Space Raider	S2	c	19	AltD008a	g	n	N
Microbyte	3D Space Ranger	ranger	c	19	Disc006a	g	n	S
Superior 	3D Space Ranger	STAR	c	19	AltD010b	g	n	N
IJK 	3D Star Soccer#2	socca	c	19	Disc002a	s	n	W
Dynabyte	3D Tank Zone	tank	c	19	Disc015b	g	n	X
Dk'Tronics	3D Tanx	3dtank	c	19	Disc036a	g	n	^
PD	3D Tennis	3d-tenn	c	19	Disc014b	g	n	_
Virgin	3D Terror Chase	TERROR	c	19	AltD012b	g	n	C
Aardvark	3D WARS DEMO	3D-WARS	C	19	STH003	G	N	_
Blue Ribbon	3D-Dotty	DOTTY	c	19	AltD005b	g	n	P
west coast pc	3D-Golf	3DGOLF	C	19	Disc179b	G	N	R
Self Pub.	3D-Maze	MAZEINS	C	19	Disc174b	G	N	V
Beebug	3D-Noughts & Crosses	OXO-L	c	19	AltD011a	s	n	M
Postern	3Deep Space	3-d.ldr	c	19	Disc027b	g	n	K
Acorn Computing	3DMaze?#STD	3D_LOAD	c	19	Disc112a	g	n	B
Advent Intl	4 Voodoo Castle	VOODOO	c	19	DISC092b	a	n	M
Micro User	4-Site	4SITE	c	19	Disc119a	s	n	^
Advent Intl	5 Count	COUNT	c	19	DISC093a	a	n	X
Softek	5 Stones Of Anadon	ANALOAD	c	19	DISC095b	a	n	J
Self Pub.	5-A-Side Soccer#STD	5-INTRO	C	19	Disc173a	G	N	M
Advent Intl	6 Strange Odyssey	STRANGE	c	19	DISC093a	a	n	P
Advent Intl	7 Mystery FunHouse	fun	c	19	DISC094a	a	n	R
Salamander	737 Flight Simulator	flight	c	19	DISC071b	s	y	_
Doctor Soft	747 Flight Simulator	747	c	19	Disc053a	s	n	I
DACC	747 Flight Simulator	jb40	c	19	Disc064a	s	n	G
Lothlorien	767 Advanced Flight Sim	767AFS	c	19	Disc118b	s	n	I
Advent Intl	8 Pyramid Of Doom	DOOM	c	19	DISC094b	z	n	N
LDL sw	8-Teen?#STD	8TLDR	C	19	Disc175a	G	N	W
Advent Intl	9 GhostTown	ADVENT	c	19	DISC095a	a	n	Q
self Pub.	9-Letter Anagrams	9LETANA	C	19	Disc171b	G	N	L
