fullpath,exe,length,crc,load_address,magicexe,magicload,magictext
A&b computing ($.A&B.csv)\2-ADVENTURES\$.DUNMESS,0,6495,19123,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.DUNLOCS,0,6225,12147,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.SCREEN,31744,1024,15058,31744,32519,31744,Mode 7 screen #2
A&b computing ($.A&B.csv)\2-ADVENTURES\I.AMNLOCS,0,870,23940,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.AMNLOCS,0,24828,52225,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\2-ADVENTURES\I.AMNMESS,0,515,29128,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.AMNMESS,0,13236,64900,0,32761,4352,TYB music samples #6
A&b computing ($.A&B.csv)\2-ADVENTURES\$.XANINIT,0,414,53368,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.!START,16744483,301,62217,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.AMNESIA,16744483,9073,55699,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.XANADU,16744483,8704,42150,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.XANDAT,0,12668,11221,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.!BOOT,16777215,21,57376,65535,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.INIT,0,1260,3830,0,0,0,no match #1
A&b computing ($.A&B.csv)\2-ADVENTURES\$.ADVDAT,0,9105,4878,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+DOC1,16777215,19704,31950,65535,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+DOC2,0,18091,41465,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.MENU,16744491,1238,2067,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+MURCLU,16777215,1984,17867,65535,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AaB_MURDER\V.+LIST1,16777215,2248,29076,65535,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.AaB,18048,7616,45007,18048,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.LOADER,32803,345,57149,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.INIT,16777215,16384,45045,0,32515,16384,Mode 3 screen #2
A&b computing ($.A&B.csv)\AaB_MURDER\$.!BOOT,16777215,19,15858,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.SCREEN,31744,1024,14209,31744,32519,31744,Mode 7 screen #2
A&b computing ($.A&B.csv)\AaB_MURDER\$.SQUASH,16744483,1419,4025,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+README,142126,2172,42515,17750,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\V.+DOC3,0,9864,42230,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AaB_MURDER\$.ADVRUNF,16744491,10001,1056,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.MURDAT,0,10917,10858,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.MURMESS,0,19215,40063,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.MURLOCS,0,13515,57641,0,0,0,no match #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.TEXTGEN,16744483,6394,25516,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AaB_MURDER\$.PUZGEN,16744483,18305,14036,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\T.INFO,0,35,60436,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL3,16744483,6489,49576,9216,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\B.MINUET,16744483,2041,60477,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\H.MENUET,16744483,1484,1671,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\E.GSTRING,16744483,4114,1448,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\E.TRIO1,16744483,1960,33799,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\E.TRIO2,16744483,2136,26460,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\E.ELISE,16744483,4736,57172,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.STUDIO,32803,1379,24566,4352,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.MENU,16744483,625,6405,16716032,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL4,16744483,616,26053,9216,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL1,32803,4154,3297,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.!BOOT,0,10,32802,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL2,0,395,18114,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB-MUSICIA\M.CSL5,0,2203,44234,0,0,0,no match #1
A&b computing ($.A&B.csv)\AB-MUSICIA\A.MUSIC,0,11659,25935,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB-MUSICIA\A.STRUCT,0,9217,53963,0,32761,4352,TYB music samples #4
A&b computing ($.A&B.csv)\AB-MUSICIA\$.STUDIO2,16744483,6728,63602,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.MUSIC1,16744483,2156,20192,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.SOUNDS,16744479,7650,46138,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.SICILI,16744483,6510,3539,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.PLAYER,32803,5184,65423,6400,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\$.MUSIC2,16744483,5248,30107,3840,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB-MUSICIA\C.HECK,3072,256,20939,3072,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.FRECT,16744491,834,12202,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.FELIPSE,16744491,967,28705,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.RECT,16744491,545,33651,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.TEXT,16744491,504,7868,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.BRUSH,16744491,430,21199,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.SBRUSH,16744491,230,59176,16715264,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.SPAINT,16744491,281,63163,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.RUBBER,16744491,156,47837,16715264,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.CLEAR,16744491,176,37110,16715264,0,0,no match #1
A&b computing ($.A&B.csv)\AB01\$.TOOLS,16744491,795,52305,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.DPAINT,16744491,740,24445,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.DBRUSH,16744491,727,36471,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.COLOUR,16744491,1072,44166,16718080,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.ARC,16744491,940,32399,16715264,32803,0,Basic #1
A&b computing ($.A&B.csv)\AB01\$.PENCIL,16744491,964,37545,16715776,32803,0,Basic #1
